timestamp,date,message
1740956401.301109,2025-03-02 17:00:01,"Good evening SEC,

Last week, Thomas Ankner and the Career Fair committee led a successful Employer Expo. Internal Relations and Membership also organized the first ever All Member Retreat this weekend!

Tomorrow, we will be holding elections for President for the 2025-2026 academic year. This meeting is mandatory unless you are granted an absence in advance.

*Reminder*: GC Meeting tomorrow night
*Where*: Chevron Rooms (ZACH 297-299)
*When*: 8:15 PM
*Attire*: Casual

If you are unable to attend this meeting, please fill out <https://forms.gle/C69jKi9AdK4U3AA48|this form>.

See you all tomorrow!"
1740351601.295449,2025-02-23 17:00:01,"Good evening SEC,

This past week, E-Week led a long list of successful events to help celebrate the engineers on campus! Philanthropy hosted both Enrichment Tutoring and a Breakroom Takeover. Engineering Development led an Industry Night with Marathon and DI Saturday, and SAGR hosted the first PRT of the semester.

Tomorrow, we will be starting our meeting with a Leadership Minute from Aadit Shah and Cooper Calk. Afterwards, we will be going over the different Executive Board positions and their responsibilities!

*Reminder:* GC Meeting tomorrow night
*Where:* HEB 110
*When:* 8:15 PM
*Attire:* Casual

If you are unable to attend this meeting, please fill out <https://docs.google.com/forms/d/e/1FAIpQLSfX_fDJ7YmMyklNHSHXEiXop4zCucaWNeMLuSQOKQ8rgNhqXw/viewform|this form>.

See you all tomorrow!"
1739746800.549149,2025-02-16 17:00:00,"Good evening SEC,

This past week, Internal Relations hosted an awesome Basketball Social!

Tomorrow, we will be starting our meeting with a Leadership Minute from Tristan Forks and Elizabeth Thomas. After, we will have a meeting with guest speaker Dr. David Flint! His bio is listed below:

“Clinical Professor in the Department of Management of the Mays Business School and Director of the Master of Science in Entrepreneurial Leadership degree program - An educator, entrepreneur, world traveler (around 60 countries depending on who is doing the counting), investor, mentor, author, and past/present member of several boards overseeing both for-profit and not-for-profit organizations. Present business endeavors with meaningful involvement include insurance, software technology, real estate, and luxury jewelry. Present not-for-profit endeavors with meaningful involvement include Christian faith-based organizations with operations that are either focused in Aggieland or engaged in multinational activities. Fun facts - Ate camel hump while visiting Inner Mongolia (very much just fat and a little slimy as served there), was attacked and bitten by a lion in Africa (deserves some explanation), and I grew up on a family farm where milking cows by hand was a regular duty.”

Since this is a speaker meeting, please note that the dress code is _*business casual*_. And as always, remember to arrive promptly out of respect for our speaker.

*Reminder:* GC Meeting tomorrow night
*Where:* Chevron Rooms (ZACH 297-299)
*When:* 8:15 PM
*Attire:* Business Casual
• *Girls:* blouse, dress pants/skirt, closed toe shoes (not sneakers)
• *Guys:* dress shirt/polo, dress pants, closed toe shoes (not sneakers)
If you are unable to attend this meeting, please fill out <https://docs.google.com/forms/d/e/1FAIpQLSfX_fDJ7YmMyklNHSHXEiXop4zCucaWNeMLuSQOKQ8rgNhqXw/viewform|this form>.

See you all tomorrow!"
1739142002.663069,2025-02-09 17:00:02,"Good evening SEC,

This past week, Engineering Development hosted an Industry Night with Lockheed Martin!

We have a very exciting meeting tomorrow! We will be starting our meeting with a Leadership Minute from Amanda Fang and Emily Abraham. After, we will be meeting our Spring 2025 New Member cohort!

*Reminder:* GC Meeting tomorrow night
*Where:* Chevron Rooms (ZACH 297-299)
*When:* 8:15 PM
*Attire:* Casual

If you are unable to attend this meeting, please fill out <https://docs.google.com/forms/d/e/1FAIpQLSfX_fDJ7YmMyklNHSHXEiXop4zCucaWNeMLuSQOKQ8rgNhqXw/viewform|this form>.

See you all tomorrow!"
1738537201.237819,2025-02-02 17:00:01,"Good evening SEC,

Last week, Engineering Development hosted Pape Dawson at Industry Night and our Membership Chair, Eunsoo Yeo, led two successful informationals!

During tomorrow’s meeting, we will be going over proposed edits to the Articles of Association and the Bylaws. Please make sure to arrive on time.

*Reminder:* GC Meeting tomorrow night
*Where:* HEB 110
*When:* 8:15 PM
*Attire:* Casual

If you are unable to attend this meeting, please fill out <https://forms.gle/Vo1yWcc7x5eouyJj9|this form>.

See you all tomorrow!"
1737932415.313149,2025-01-26 17:00:15,"Good evening SEC,

Thank you to everyone for your part in putting on the Career Fair last week. A special thank you to Thomas Ankner, Josh Huye, and the rest of the Career Fair team for hosting a smooth and successful fair! 

At tomorrow’s meeting, we will be having committee time. Come prepared to brainstorm and collaborate!

*Reminder:* GC Meeting tomorrow night
*Where:* Chevron Rooms (ZACH 297-299)
*When:* 8:15 PM
*Attire:* Casual

If you are unable to attend this meeting, please fill out <https://forms.gle/Vo1yWcc7x5eouyJj9|this form>.

See you all tomorrow!"
1737327600.967579,2025-01-19 17:00:00,"Good evening SEC,

I hope everyone had an amazing first week of school!

There is *no GC Meeting tomorrow* as it is Martin Luther King Jr. Day. Our next meeting will be Monday, January 27th.

See you all next week!"
1736722804.429289,2025-01-12 17:00:04,"Good evening SEC,

I hope everyone had an amazing winter break!

Tomorrow, we will be having our *Career Fair Walkthrough meeting*! Our Career Fair Operations Coordinators, Vinathi Golkonda and Jorge Garcia, will be giving a presentation that covers everything you need to know about next week’s fair. We will follow up with a video tour of the venue.

*Reminder:* GC Meeting tomorrow night
*Where:* Chevron Rooms (ZACH 297-299)
*When:* 8:15 PM
*Attire:* Casual

If you are unable to attend this meeting, please fill out <https://docs.google.com/forms/d/e/1FAIpQLSfX_fDJ7YmMyklNHSHXEiXop4zCucaWNeMLuSQOKQ8rgNhqXw/viewform|this form>.

See you all tomorrow!"
1733094002.286379,2024-12-01 17:00:02,"Good Evening SEC,

I hope you all had an awesome Thanksgiving break!

There will be *no GC meeting tomorrow* (Monday, 12/2). Instead, we will be having our *Winter Banquet* at Peach Creek Ranch starting at 6 PM!

*Reminder:* Winter Banquet tomorrow night
*Where:* Peach Creek Ranch
*When:* 6 PM
*Attire:* Semi-Formal

If you have any questions regarding Banquet, please reach out to our Internal Relations Chairs: Caden Morales and Maylun Huang. We look forward to seeing you all there tomorrow night!"
1732489200.993259,2024-11-24 17:00:00,"Good Evening SEC,

I hope you are all having a restful weekend so far!

There will be *no GC meeting tomorrow* (Monday, 11/24) due to Thanksgiving. Last week was our final meeting of the semester!

We look forward to seeing you all at Banquet!"
